Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
-4,r8937440-n43543,0,2080,1623534351,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2090,1623534361,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2100,1623534371,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2110,1623534381,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2120,1623534391,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2130,1623534401,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2140,1623534411,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2150,1623534421,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2160,1623534431,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2170,1623534441,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2180,1623534451,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2190,1623534461,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2200,1623534471,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2210,1623534481,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2220,1623534491,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2230,1623534501,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2240,1623534511,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2250,1623534521,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2260,1623534531,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2270,1623534541,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2280,1623534551,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2290,1623534561,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2300,1623534571,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2310,1623534581,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2320,1623534591,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2330,1623534601,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2340,1623534611,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2350,1623534621,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2360,1623534631,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2370,1623534641,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2380,1623534651,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2390,1623534661,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2400,1623534671,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2410,1623534681,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2420,1623534691,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2430,1623534701,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2440,1623534711,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2450,1623534721,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2460,1623534731,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2470,1623534741,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2480,1623534751,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2490,1623534761,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2500,1623534771,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2510,1623534781,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2520,1623534791,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2530,1623534801,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2540,1623534811,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2550,1623534821,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2560,1623534831,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2570,1623534841,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2580,1623534851,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2590,1623534861,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2600,1623534871,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2610,1623534881,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2620,1623534891,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2630,1623534901,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2640,1623534911,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2650,1623534921,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2660,1623534931,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2670,1623534941,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2680,1623534951,1048,0,0,780,7776,0,0,0
